NAZWA;POW;LUD;LUD_M;PRAC;PRAC_P;BEZ;WYN;MIESZK;ENEL;DSGR;POTROZ;UZROL;LES;PROD_P;DOCH;DOCHW;;
w¹brzeski;501;35866;39,6;11852;1842;4242;1749,84;10592;10,2;12,4;1,17;81,1;7,5;356,2;20,5;1,3;;
w³oc³awski;1472;86815;19,9;31308;2053;9040;1481,11;24716;9,9;88,6;0,51;70,0;17,9;196,3;29,4;2,7;;
¿niñski;984;71378;44,1;23027;4835;7922;1428,73;19797;18,5;59,1;1,46;71,0;16,6;325,1;34,9;2,5;;
Bydgoszcz;174;384537;100,0;160156;48721;17500;1878,18;128577;223,8;625,1;3,25;21,4;27,7;5965,6;623,6;304,3;;
Grudzi¹dz;59;102344;100,0;30805;8591;10409;1592,22;33845;51,8;116,6;1,65;33,1;19,0;561,5;192,2;61,8;;
Toruñ;116;204322;100,0;87001;29024;11492;1859,89;70820;128,1;293,0;3,45;24,1;22,3;3235,7;376,0;171,8;;
W³oc³awek;85;123349;100,0;48796;17607;12240;1759,42;41825;66,8;176,6;3,20;15,6;23,6;2619,4;227,0;95,2;;
bialski;2754;117259;20,7;51545;3449;7869;1467,25;35079;14,8;40,1;1,68;66,7;25,2;276,6;51,8;4,6;;
bi³gorajski;1678;106191;32,9;53691;5848;8092;1593,62;28591;22,4;259,9;1,21;55,9;38,1;1260,9;58,6;2,9;;
che³mski;1780;75707;6,2;35501;1964;6230;1582,59;23522;2,1;105,4;0,25;71,1;18,0;167,5;27,0;2,6;;
hrubieszowski;1270;73924;27,1;34877;1982;6455;1530,46;22737;13,5;0,0;0,50;78,8;13,0;224,8;35,4;1,4;;
janowski;875;49766;24,7;27306;1763;4072;1498,44;13192;7,7;80,2;0,45;52,7;39,5;121,6;27,6;1,6;;
krasnostawski;1138;80589;25,8;38644;4162;5505;1547,81;26992;10,3;333,6;1,02;74,9;14,2;416,0;46,1;2,9;;
kraœnicki;1005;102798;39,1;47437;7139;7311;1538,57;29951;16,3;553,0;0,50;72,4;19,7;360,4;49,0;3,0;;
lubartowski;1290;92661;31,8;40999;4170;8161;1539,70;26746;21,1;41,0;1,02;70,5;19,6;341,4;40,2;2,9;;
lubelski;1679;135787;9,2;63250;4288;7299;1622,55;38154;6,0;1077,1;0,28;82,9;9,9;420,3;45,7;3,0;;
³êczyñski;634;57683;39,1;24820;5540;4452;2594,97;16352;8,7;211,7;1,69;74,4;12,7;1055,1;26,9;1,1;;
³ukowski;1394;111054;31,4;49143;5458;9005;1471,18;29856;16,7;215,9;0,81;71,3;21,0;394,1;52,1;2,8;;
opolski;804;65541;30,8;30174;1572;6953;1545,84;19629;8,3;263,1;0,30;68,3;20,9;173,4;29,4;1,3;;
parczewski;953;38673;28,8;16528;1491;2768;1519,18;12126;7,7;0,0;2,25;62,8;24,5;47,0;22,4;1,0;;
pu³awski;933;122733;51,1;51649;10584;8794;1888,39;37550;30,5;596,6;2,41;63,2;22,7;1509,250909;57,4;2,7;;
radzyñski;965;63744;26,5;29093;1994;4793;1663,94;18197;8,9;55,3;1,91;71,7;20,1;228,6;26,7;2,5;;
rycki;616;62911;46,9;25331;2506;4489;1572,32;18606;14,8;133,8;1,45;65,4;20,2;357,3490909;32,1;1,7;;
œwidnicki ;469;73661;59,2;25953;5607;5035;1585,80;22433;20,5;192,8;1,00;80,0;11,4;553,7;32,1;2,8;;
tomaszowski;1487;92401;25,7;43200;3195;8482;1519,09;27002;12,1;191,8;0,96;70,2;21,2;332,8;48,8;3,1;;
w³odawski;1256;42411;34,6;17393;1877;3920;1570,49;12883;9,5;0,0;1,48;49,2;38,3;60,6;29,6;2,9;;
zamojski;1872;112274;10,9;56981;2613;8268;1443,07;33029;6,9;708,7;0,23;70,3;21,0;238,0;29,8;3,1;;
Bia³a Podlaska;49;58958;100,0;21562;5487;4320;1591,61;17775;34,9;67,9;2,55;48,0;11,2;308,1;110,6;32,0;;
Che³m ;35;70808;100,0;22840;5362;5519;1690,61;22748;40,9;115,1;2,85;38,5;7,3;549,7;144,5;44,2;;
Lublin;148;355803;100,0;144327;30748;16492;1895,45;120785;222,8;473,0;3,21;39,6;11,1;3010,3;611,0;267,6;;
Zamoœæ;30;68717;100,0;26809;5532;5433;1657,27;20390;37,3;104,3;3,63;45,2;1,9;458,3;142,5;39,9;;
gorzowski;1217;63263;38,5;18636;3864;5021;1807,40;16555;14,0;188,7;1,78;43,1;43,3;1000,1;20,6;1,9;;
kroœnieñski;1390;60144;52,8;15671;3190;6796;1699,16;16700;20,5;50,9;1,23;28,9;59,1;207,8;27,6;1,6;;
miêdzyrzecki;1388;60659;54,3;17853;4038;5383;1595,97;17732;24,8;43,1;1,37;36,7;52,0;437,0;40,0;3,8;;
nowosolski;1395;127388;62,3;35375;10015;14120;1540,62;36989;49,2;121,8;0,17;51,1;37,8;830,1;64,8;5,1;;
s³ubicki;1000;47511;63,7;15246;2525;4223;1865,57;14053;21,9;41,1;2,95;42,5;45,7;276,8;27,9;1,8;;
strzelecko-drezdenecki;1248;51411;47,1;15190;4080;5356;1549,51;14454;16,1;55,4;0,48;38,7;49,3;299,3;26,0;2,5;;
sulêciñski;1177;35954;40,9;11257;2294;3559;1488,99;10421;10,8;0,0;2,65;31,1;52,8;157,9;20,9;2,1;;
œwiebodziñski ;938;57864;47,7;19466;5229;3656;1486,68;16455;16,1;91,3;0,97;48,3;41,7;340,1;42,8;2,5;;
zielonogórski;1571;86891;40,9;24978;6021;7084;1690,15;23839;19,2;138,7;1,18;39,5;49,4;700,3;32,2;2,7;;
¿agañski ;1131;85557;61,4;23325;4802;9410;1583,76;26703;29,6;142,9;0,72;43,1;44,0;381,5;39,1;1,9;;
¿arski;1394;102074;62,3;30461;8242;10177;1730,55;30210;37,6;120,8;1,03;36,6;53,1;1667,2;55,4;3,4;;
Gorzów Wielkopolski;77;126285;100,0;50943;15167;7739;1821,04;41264;85,6;204,1;3,65;45,2;4,9;2171,7;272,2;114,5;;
Zielona Góra;58;118987;100,0;51709;11654;6615;1912,68;40346;65,1;163,9;3,68;13,3;46,1;1140,8;240,6;114,5;;
be³chatowski;969;111055;62,4;55281;22644;10767;2584,99;34268;40,7;108,7;2,73;58,8;29,8;4285,0;53,5;5,6;;
kutnowski;886;110883;58,2;42868;8916;11669;1711,44;36618;44,6;27,3;0,65;85,6;4,6;1103,1;66,6;6,0;;
³aski;617;52809;38,4;21533;3916;3811;1465,81;16518;14,5;7,0;1,23;70,1;21,1;336,6;25,5;1,6;;
³êczycki;774;56430;29,0;25210;1748;5188;1595,57;16957;10,4;15,7;0,30;85,9;5,2;297,5;28,4;1,7;;
³owicki;987;85950;36,8;38081;5109;5476;1629,62;25843;21,4;0,0;0,75;81,0;9,0;625,1;40,1;2,8;;
³ódzki wschodni;858;92635;35,8;36049;5227;6809;1460,57;29501;25,5;264,2;2,92;70,8;19,8;316,2;48,9;4,0;;
opoczyñski;1039;80677;32,7;39382;6598;8485;1829,07;23534;16,4;86,9;0,63;62,3;29,9;756,7;34,1;2,6;;
pabianicki ;491;120798;76,1;43980;15667;9254;1585,74;44857;65,2;286,6;1,61;61,2;25,9;1412,5;54,4;4,6;;
pajêczañski;804;55171;25,2;25788;3161;5359;1601,21;15663;8,3;0,0;0,71;67,3;24,3;420,3;19,2;1,1;;
piotrkowski;1429;92152;6,8;37524;3503;5766;1451,80;26404;3,6;29,6;0,40;67,1;23,7;259,3;27,2;2,5;;
poddêbicki;881;44216;24,9;22152;2633;3279;1492,45;14060;7,9;31,4;1,55;73,6;15,1;189,1;28,6;1,5;;
radomszczañski;1443;122549;46,8;51106;8742;12419;1564,25;39027;34,2;102,2;1,11;59,6;29,7;1378,2;63,6;3,6;;
rawski;647;51444;42,5;22958;2764;3799;1481,90;14687;12,0;25,7;0,83;81,4;10,2;369,0;29,9;1,1;;
sieradzki;1491;125216;43,8;56806;6923;9012;1604,82;35614;38,9;0,0;2,32;71,2;17,9;681,3;65,9;5,2;;
skierniewicki;756;38733;0,0;18504;788;1470;1610,56;10817;0,0;0,0;1,35;72,3;20,2;68,5;8,3;0,9;;
tomaszowski;1026;124936;55,4;44974;8472;13530;1522,96;41452;40,7;81,1;0,73;60,0;30,5;649,3;62,5;4,4;;
wieluñski;928;81227;31,6;39224;5854;5890;1516,73;23011;15,3;0,0;2,15;67,5;23,6;539,4;38,9;2,2;;
wieruszowski;576;42665;19,7;20603;4488;3117;1510,08;11803;5,5;14,1;2,40;66,3;25,1;725,2;20,7;1,5;;
zduñskowolski ;369;69174;69,4;26634;7919;4725;1610,73;21974;33,6;8,8;1,73;69,5;19,9;869,2;37,9;3,2;;
zgierski;854;161184;74,6;51166;12084;14878;1511,94;55432;90,0;241,1;1,70;65,8;18,4;996,4;73,9;5,4;;
£ódŸ ;294;793217;100,0;295186;73504;55478;1845,22;328362;584,7;981,1;2,90;37,3;7,7;7807,3;1439,0;755,4;;
Piotrków Trybunalski;67;81032;100,0;32877;9572;5590;1398,52;28401;45,5;93,8;2,60;51,7;20,5;793,4;160,5;63,4;;
Skierniewice;33;49232;100,0;18088;5378;2293;1722,62;16377;28,0;102,5;2,89;55,0;2,8;539,7;89,5;32,6;;
bocheñski;631;98289;33,3;39522;5755;5406;1704,58;25142;21,0;974,9;1,67;60,0;27,2;919,4;41,4;2,6;;
brzeski;590;89833;22,4;37291;4719;6066;1812,27;22914;10,9;959,7;1,01;69,7;18,5;676,2;34,8;2,0;;
chrzanowski;371;130949;62,8;41684;14895;7308;1926,38;39879;63,9;701,6;2,35;45,8;36,5;2426,2;61,5;4,0;;
d¹browski;527;58878;19,1;26536;1265;5492;1468,95;14573;3,9;768,3;0,71;76,3;13,4;235,8;26,6;1,3;;
gorlicki;967;108248;32,2;46631;6332;11004;1553,79;27257;16,8;1037,0;1,22;49,5;43,4;1180,1;59,1;4,0;;
