NAZWA;POW;LUD;LUD_M;PRAC;PRAC_P;BEZ;WYN;MIESZK;ENEL;DSGR;POTROZ;UZROL;LES;PROD_P;DOCH;DOCHW;;
ropczycko-sêdziszowski;549;71291;31,2;33713;4645;7344;1595,65;17481;7,3;656,1;1,90;66,3;23,2;627,2;30,7;1,7;;
rzeszowski;1219;167937;11,7;68871;6116;11606;1575,76;41838;10,9;1692,4;1,68;68,4;20,6;374,4;42,4;3,6;;
sanocki;1225;95808;48,3;39520;9268;8602;1597,33;25063;20,6;595,6;1,99;41,0;49,6;820,7;49,8;2,5;;
stalowowolski;833;115272;62,3;46978;14483;8821;1824,58;32834;31,8;494,6;2,00;34,9;50,8;1611;50,2;2,6;;
strzy¿owski;503;62447;13,8;28344;2349;6541;1481,27;15605;4,2;781,5;0,50;67,1;24,5;138,7;28,0;1,9;;
tarnobrzeski;520;55713;24,4;24671;6583;4806;1686,42;13916;5,0;505,5;1,47;49,0;31,3;351,8;21,2;1,2;;
Krosno;43;48890;100,0;30202;12812;3278;1667,02;14974;24,2;169,2;5,78;62,6;0,6;1022,4;117,7;36,9;;
Przemyœl;44;68007;100,0;27142;5348;5147;1582,74;22797;45,3;120,7;5,00;57,1;3,5;275,5;145,8;37,6;;
Rzeszów;54;162501;100,0;89059;26363;8555;1889,83;51042;82,6;299,8;5,30;40,1;0,1;2199,2;355,2;131,7;;
Tarnobrzeg;86;51176;100,0;20490;5014;3903;1624,32;15428;20,3;120,6;4,30;60,4;6,0;354,2;94,9;30,2;;
augustowski;1658;60962;54,4;24629;2900;5551;1823,88;17117;19,5;0,0;2,31;41,5;45,7;462,6;32,6;2,2;;
bia³ostocki ;2987;140007;36,3;48772;5767;7976;1539,77;43407;28,0;217,2;0,90;50,1;38,9;420,9;51,5;5,2;;
bielski ;1385;63148;49,8;31046;3817;3129;1615,75;22131;18,4;1,1;1,20;73,0;19,0;306,1;34,0;2,5;;
grajewski;967;51604;55,0;19180;2286;5179;1851,98;14476;14,9;0,0;0,65;65,3;21,5;946,7;27,3;1,1;;
hajnowski;1624;52666;48,6;25167;3769;2825;1583,12;19797;13,0;0,0;1,82;41,7;50,3;203,9;29,9;1,5;;
kolneñski;940;41166;33,3;18237;1248;3697;1514,32;10458;6,6;0,0;0,73;72,2;20,4;161,442949;16,7;0,8;;
³om¿yñski ;1354;51164;7,8;23260;1191;3806;1705,32;13743;1,6;2,9;1,48;70,4;21,6;184,7;15,8;0,8;;
moniecki;1384;45413;34,6;19080;878;2164;1600,66;12938;8,2;0,0;0,21;57,2;19,8;142,1;20,0;1,0;;
sejneñski;856;21993;27,9;10011;239;2390;1585,71;6378;3,7;0,0;1,83;47,9;41,2;30,91735962;13,5;0,5;;
siemiatycki;1460;51684;34,9;24183;1618;1869;1601,98;16841;9,2;67,7;0,70;60,0;32,5;172,1;24,7;1,5;;
sokólski;2054;77735;37,3;35927;2647;6260;1579,37;23900;14,7;0,0;0,45;68,1;23,6;261,1;35,5;1,6;;
suwalski;1308;35645;0,0;16933;634;2379;1611,14;9548;0,0;0,0;0,81;69,8;17,1;82,01508787;12,6;1,5;;
wysokomazowiecki ;1282;61758;23,1;29468;2545;3282;1678,84;17649;9,4;15,6;1,21;73,8;18,4;329,2246035;30,5;2,1;;
zambrowski;733;46472;51,6;17976;2318;3413;1540,30;13098;13,6;13,7;2,58;62,4;25,8;286,7;23,7;1,8;;
Bia³ystok ;90;285507;100,0;107605;23771;14211;1863,64;101983;146,5;436,6;3,72;17,6;20,5;2507,1;454,3;187,2;;
£om¿a ;33;65112;100,0;20155;3867;5548;1654,39;19783;35,7;28,1;3,00;59,8;0,9;325,9;119,4;34,8;;
Suwa³ki;65;69092;100,0;23882;6888;5553;1659,20;20986;40,9;14,3;3,81;61,0;13,3;658,4;141,0;37,4;;
bytowski ;2193;76963;38,6;23973;5372;11031;1515,41;19048;17,8;46,0;0,65;37,2;51,3;350,1;44,2;2,9;;
chojnicki;1364;91398;59,7;30238;8059;9575;1499,65;23675;31,8;85,8;0,55;36,7;51,1;600,9;75,1;3,2;;
cz³uchowski ;1574;58833;46,1;16988;3823;8340;1560,58;16341;18,2;15,4;2,01;41,4;47,7;262,6;37,5;4,8;;
gdañski;793;77634;28,3;23061;5725;2802;1795,65;18802;19,1;213,8;1,52;66,5;17,5;678,3;22,8;3,5;;
kartuski ;1120;101532;21,3;33224;5750;5329;1554,29;21631;17,4;130,1;2,03;55,0;30,2;431,1;41,4;3,4;;
koœcierski ;1166;66143;35,8;21842;4482;5281;1573,65;15749;15,3;7,4;0,63;41,8;44,2;303,3;34,9;2,4;;
kwidzyñski;835;83491;58,2;28461;10073;7919;1669,19;22363;22,9;140,3;0,15;63,5;21,7;4031,5;55,3;6,1;;
lêborski;707;66027;62,3;18579;5184;6841;1589,39;18001;27,8;89,9;1,67;46,6;37,7;528,9;42,7;3,6;;
malborski;1225;108942;56,0;28162;4915;12918;1624,10;30472;31,3;192,0;2,41;76,4;10,2;586,4;63,1;3,6;;
nowodworski;653;37115;31,8;10389;1107;5255;1571,07;9743;7,6;16,3;1,34;59,0;8,0;61,6;23,3;2,3;;
pucki;578;70204;50,0;23484;4202;3062;1694,43;17310;33,2;239,1;3,80;52,7;30,2;618,6;38,2;4,0;;
s³upski;2304;94520;22,7;25481;6318;11263;1523,11;24875;15,5;44,1;2,00;50,6;35,0;478,8;42,9;4,3;;
starogardzki;1345;122593;51,7;37916;11136;10041;1842,83;32718;36,5;113,1;0,69;47,3;41,3;1124,6;58,0;5,6;;
tczewski;698;114059;67,4;29789;7278;9244;1691,74;31673;46,9;201,4;0,61;71,1;14,2;610,8;64,0;6,2;;
wejherowski;1280;172820;62,3;41452;9959;7799;1657,67;43054;72,8;223,1;1,23;44,5;42,6;856,6;70,4;5,9;;
Gdañsk ;262;456574;100,0;189614;45799;13534;2185,11;156043;352,5;1014,6;4,71;33,1;17,1;9474,6;921,5;524,6;;
Gdynia;136;255416;100,0;101686;26526;7630;2230,67;88875;189,4;355,0;3,90;18,6;44,2;3679,3;438,8;249,9;;
S³upsk;43;102244;100,0;39586;10045;8345;1699,40;33113;81,4;142,9;3,25;26,3;11,7;1708,2;222,1;105,3;;
Sopot;17;41814;100,0;16368;2040;1010;2171,32;16689;44,6;79,4;5,50;4,0;52,5;209,2;109,6;66,0;;
bêdziñski;331;147320;75,3;44619;10944;9293;1938,15;54800;83,4;660,7;2,40;59,5;22,0;1591,7;58,4;5,1;;
bielski;457;147149;30,1;47989;14320;6356;1754,81;40974;29,5;1372,9;2,49;50,2;27,8;2601,8;42,5;4,1;;
cieszyñski;730;171853;49,2;64720;13635;8442;1670,98;50142;55,5;1464,8;3,47;47,4;37,7;1018,4;87,5;8,0;;
czêstochowski;1519;134628;12,6;51773;7861;8973;1469,80;40885;9,5;523,3;1,15;61,4;28,4;855,2;32,7;3,5;;
gliwicki;677;125120;56,8;33457;12436;5188;1698,30;36852;44,1;255,6;0,80;52,7;31,5;313,5;27,2;4,0;;
k³obucki;889;86184;21,5;34946;5655;5568;1417,47;23851;12,4;16,1;1,30;62,9;29,4;481,8;29,2;1,6;;
lubliniecki;822;80525;39,4;25225;5111;3846;1668,06;22758;19,1;101,4;2,33;39,8;50,5;607,5;46,1;4,6;;
miko³owski;232;92780;87,3;34711;16078;3664;2109,96;28441;62,2;322,3;2,69;48,6;35,1;2077,1;33,7;4,0;;
myszkowski;479;73275;55,6;26998;5888;4824;1418,48;23238;23,6;310,8;2,15;64,4;1,3;738,7;30,7;1,9;;
pszczyñski;473;103593;25,8;45331;18510;3964;1652,51;26399;18,5;742,1;3,95;49,6;27,6;695,9;38,2;2,7;;
raciborski;544;119951;57,9;34841;10143;4076;1696,75;33716;39,0;290,9;2,00;61,7;24,9;950,2;90,0;4,8;;
rybnicki;225;74613;40,3;15832;4445;2739;1795,61;21391;20,4;188,9;1,27;52,4;32,4;434,5;15,0;2,4;;
tarnogórski;643;143317;69,7;46827;14833;7050;1672,06;44996;66,5;571,0;2,10;35,2;49,1;1473,4;88,5;5,6;;
tyski;157;60260;80,9;24539;14706;2261;1823,09;15077;29,1;248,5;3,31;60,8;15,1;3118,951534;13,9;1,8;;
wodzis³awski ;287;158246;67,3;50323;19319;7655;1581,76;44144;77,3;488,5;1,70;64,7;9,9;510,7;64,9;5,9;;
zawierciañski ;1003;128326;64,0;48260;11283;10934;1714,14;43363;56,0;435,0;1,97;60,7;30,2;1747,4;63,7;4,8;;
¿ywiecki;1040;151279;21,6;57206;11051;8188;1924,44;40307;30,2;382,8;2,30;35,7;51,7;1794,0;71,0;4,9;;
Bielsko-Bia³a ;125;179314;100,0;82474;26525;7792;1870,44;58411;120,5;500,2;5,32;33,9;24,8;8619,7;368,7;195,4;;
Bytom;69;201942;100,0;59952;21266;13353;2051,44;71777;118,7;279,4;1,30;23,2;18,8;1962,8;343,0;174,5;;
Chorzów;34;120450;100,0;38225;11870;8161;1688,32;50243;85,0;191,5;2,68;15,9;6,6;1385,7;240,5;91,2;;
Czêstochowa;160;255549;100,0;103005;31644;14959;1742,49;91390;164,0;382,2;3,20;48,3;2,8;3749,9;426,9;172,0;;
D¹browa Górnicza ;188;130250;100,0;57368;27483;9077;2162,49;48622;85,6;338,0;5,78;41,6;23,0;6118,5;249,9;137,5;;
Gliwice;134;209356;100,0;82428;26623;10637;2327,62;71837;165,2;402,4;4,78;50,8;11,4;7143,9;436,3;250,9;;
Jastrzêbie- Zdrój ;85;101387;100,0;37745;19314;6104;2710,39;29054;57,0;257,1;2,75;66,0;7,2;4096,248466;154,3;76,5;;
Jaworzno;152;97372;100,0;27980;10610;5604;2332,50;30942;80,5;197,3;1,20;36,5;33,3;1885,1;151,3;73,8;;
Katowice;164;340539;100,0;201788;56115;11037;2350,20;132615;249,0;534,7;5,75;14,8;39,5;6549,1;740,0;395,8;;
Mys³owice;66;78973;100,0;28339;12588;4117;1623,93;25947;45,4;223,9;2,00;36,6;24,7;381,2;130,9;70,9;;
Piekary Œl¹skie;40;65291;100,0;17061;7984;3157;3313,98;23083;44,6;100,2;0,35;49,7;5,3;714,4;84,6;40,3;;
Ruda Œl¹ska;78;154228;100,0;50002;28195;7290;2505,46;56727;98,7;224,4;0,51;24,3;19,4;2323,4;245,3;122,2;;
Rybnik ;135;143883;100,0;55801;20271;7459;2463,78;42707;103,0;372,6;3,39;25,1;33,2;3393,6;275,0;119,1;;
Siemianowice Œl¹skie ;25;76487;100,0;19175;6922;4663;1791,35;30206;48,9;99,2;1,56;36,4;1,4;600,2;117,7;67,2;;
Sosnowiec ;91;241102;100,0;72365;22033;14871;1854,61;88813;148,7;341,5;2,69;26,1;16,6;3359,8;379,7;214,2;;
Œwiêtoch³owice;13;58657;100,0;13969;5300;3589;1920,82;22867;34,4;88,7;1,05;10,3;0,0;872,9;129,3;37,8;;
Tychy ;82;130832;100,0;48424;18453;6896;2619,29;43277;84,4;229,6;2,81;38,8;27,3;5925,4;238,0;112,7;;
Zabrze ;80;197910;100,0;52880;18049;13164;1895,92;66724;119,7;380,3;1,90;23,7;15,0;1424,5;356,3;203,8;;
¯ory;65;65659;100,0;14262;2846;4839;1695,44;17579;37,6;175,8;1,02;53,7;23,7;324,4;93,0;38,6;;
buski;967;76531;23,6;43236;2365;4600;1643,07;23140;10,2;491,4;1,72;79,3;9,3;55,0;45,5;2,1;;
jêdrzejowski;1257;92499;30,6;45017;3589;6531;1778,01;27744;18,2;0,0;1,30;72,6;18,1;735,303888;45,8;2,3;;
kazimierski;422;37830;20,0;21385;922;1878;1533,15;11170;5,0;0,0;0,40;90,0;3,9;71,9;21,1;1,1;;
kielecki;2248;195886;5,6;82425;7733;19515;1864,76;47337;6,4;76,1;1,51;55,3;34,2;797,8;49,5;4,2;;
konecki;1140;87899;32,3;37680;5980;11882;1569,47;26916;13,6;93,4;2,20;44,5;46,6;617,2;39,6;2,5;;
opatowski;912;59420;20,8;33079;4101;5094;1877,37;18710;6,6;318,5;2,65;79,0;13,9;573,2;39,8;2,0;;
ostrowiecki;616;122296;69,6;42122;11510;12384;1653,21;39377;39,9;293,7;2,77;59,9;29,4;1223,7;66,3;3,7;;
piñczowski;611;43919;30,7;23980;2345;2927;2049,23;13714;8,6;0,0;1,62;70,6;17,2;298,1;23,2;0,9;;
sandomierski;676;86289;34,0;42400;3704;6723;1762,29;24309;12,8;608,8;2,35;81,1;5,8;609,0;46,9;2,0;;
skar¿yski ;362;83205;74,7;27601;6785;8671;1658,59;26899;31,8;176,1;2,10;30,3;56,1;616,3;50,5;2,4;;
starachowicki ;540;99913;59,6;35355;7871;11809;1554,93;30721;28,3;399,1;1,90;44,3;45,0;859,0;75,3;3,1;;
staszowski;925;78061;36,5;38949;6622;6978;2117,62;21372;15,0;150,6;2,60;61,6;26,8;1356,696112;30,5;1,4;;
w³oszczowski;906;48175;23,1;24195;3752;5045;1735,22;14187;7,1;0,0;1,25;52,6;37,8;438,3;22,9;1,5;;
Kielce;109;210956;100,0;96819;24925;14432;1877,85;69635;111,1;258,1;4,57;36,7;20,2;2023,5;388,8;160,8;;
bartoszycki;1308;64651;55,9;18393;3271;9347;1571,52;19096;20,4;52,6;0,42;70,1;20,0;158,1;39,2;2,6;;
braniewski;1205;45982;53,9;12289;1463;5982;1542,92;12965;16,5;0,0;1,27;59,3;22,8;43,6;27,5;1,2;;
dzia³dowski ;964;67570;44,2;20553;4786;8695;1532,87;18275;15,1;154,1;0,82;61,1;27,8;378,9;30,8;2,0;;
elbl¹ski;1431;57705;30,0;16037;2471;7697;1570,58;15496;9,3;5,4;0,75;60,9;17,4;276,7;28,9;2,7;;
e³cki ;1112;85906;65,9;25231;6265;10042;1627,35;24501;28,8;55,0;1,81;59,8;21,7;626,9;57,1;4,0;;
gi¿ycki;2017;88816;52,9;25754;3295;11634;1544,74;26580;23,8;142,6;2,32;53,3;23,8;246,2;55,1;3,7;;
i³awski;1385;91420;58,8;31504;7989;9035;1556,45;23782;32,9;73,6;1,05;57,7;25,8;564,6;47,0;2,5;;
kêtrzyñski;1213;71151;57,1;18111;4294;8196;1559,77;21499;20,4;80,3;1,31;71,7;15,6;419,2;45,8;4,3;;
lidzbarski;924;45210;60,0;13182;2638;5348;1399,24;13466;16,7;22,3;0,85;62,4;24,7;201,8;29,0;1,6;;
mr¹gowski;1065;51991;51,9;16778;3573;5767;1578,92;14778;15,4;55,7;1,90;46,7;30,9;228,1;30,7;1,8;;
nidzicki;961;35199;43,8;9964;2234;3819;1473,66;9748;8,8;22,3;0,79;52,7;36,5;131,9;19,1;0,9;;
nowomiejski;695;44083;24,9;13804;2863;4415;1513,69;11866;8,0;0,0;0,82;67,6;19,4;198,5;19,4;1,7;;
olecko-go³dapski;1441;58972;51,6;16411;2572;8060;1585,25;16854;17,2;29,3;1,45;58,5;27,5;181,0;39,5;2,5;;
olsztyñski;2840;114303;36,5;31130;7508;10134;1652,76;29666;27,5;118,7;0,79;48,4;36,7;877,0;43,2;5,2;;
ostródzki;1765;109290;50,9;30430;7146;13740;1566,72;30289;33,5;99,3;1,28;54,8;28,3;902,2;56,8;4,3;;
piski;1776;59795;58,9;15732;3084;7782;1682,20;16041;19,4;20,8;1,60;30,0;47,9;193,3;29,1;1,1;;
szczycieñski;1933;71838;41,8;20652;3739;7648;1550,57;17950;17,5;77,9;1,20;38,0;48,6;195,8;35,9;2,3;;
Elbl¹g ;80;130160;100,0;40628;12048;11849;2026,20;41219;64,2;172,3;1,95;30,5;23,9;1857,5;239,9;99,4;;
Olsztyn;88;174271;100,0;77393;17923;8960;1938,14;57290;109,2;228,9;2,93;22,8;20,0;3252,5;326,6;160,6;;
chodzieski ;680;47376;58,0;16631;5530;4289;1507,04;13293;15,8;110,8;2,74;54,7;35,0;388,9;26,6;2,8;;
czarnkowsko-trzcianecki;1808;87762;47,8;30878;8118;7272;1608,14;23945;25,5;80,2;1,79;40,8;50,1;769;48,7;3,5;;
gnieŸnieñski;1254;141509;65,3;44320;10640;9445;1605,23;40040;54,2;343,7;2,00;73,6;14,2;975,5;75,9;5,5;;
gostyñski;810;76456;41,8;28761;6605;5220;1650,57;19724;18,0;388,6;1,80;77,3;13,8;1204,6;36,3;3,9;;
grodziski;644;48729;36,9;18422;4255;2223;1529,98;12319;11,5;319,4;2,00;67,3;23,5;382,7;17,3;1,2;;
jarociñski;588;70985;39,4;24379;6074;5902;1492,06;18736;16,3;120,4;2,01;72,0;18,0;393,9;33,6;4,2;;
kaliski ;1160;80701;1,9;35303;3333;5354;1522,00;19088;1,2;268,9;0,35;72,1;19,7;367,8;19,4;2,0;;
kêpiñski ;608;55533;27,1;23982;7171;2842;1250,63;14238;10,5;69,5;1,81;72,2;19,4;493,5;26,1;3,3;;
kolski;1011;91281;38,3;36379;5989;9059;1874,48;26840;22,7;74,3;1,81;79,4;10,9;574,6;44,5;3,5;;
koniñski ;1579;121040;14,3;45607;7280;11600;2155,98;29730;11,7;38,8;1,95;70,8;15,4;662,8432507;28,4;3,2;;
koœciañski;723;78350;46,3;26862;5580;3200;1548,36;20805;23,9;246,0;2,46;76,2;13,2;602,9;28,1;2,6;;
krotoszyñski;714;77813;59,4;28436;6917;6120;1492,32;20668;26,8;213,7;1,78;72,3;18,4;636,6;40,2;2,9;;
leszczyñski;804;48451;8,9;19301;2968;2338;1561,38;11307;2,9;101,4;1,77;65,2;24,2;414,3;12,1;1,3;;
miêdzychodzki;737;36689;47,2;13064;3939;2336;1498,86;10472;11,0;42,1;2,99;42,4;44,2;520,7;25,6;2,8;;
nowotomyski;1012;71459;48,0;26935;8054;3245;1610,44;19466;22,3;225,1;2,45;52,8;37,7;719,8;29,4;2,0;;
obornicki;713;55629;51,6;19005;5523;3185;1716,01;15265;17,1;134,9;3,10;59,1;30,7;962,6;26,1;1,5;;
ostrowski;1160;160026;54,2;57962;14088;11882;1564,03;43406;56,9;476,5;2,03;60,7;27,8;1475,3;75,8;6,5;;
ostrzeszowski;772;54623;34,2;24030;4967;3340;1594,75;13852;12,0;57,7;1,75;57,1;34,2;520,2;32,9;3,0;;
pilski;1268;138359;66,4;52143;14960;8528;1698,38;39368;51,0;319,4;3,75;59,5;28,0;2163,6;82,0;5,9;;
pleszewski;712;62297;29,8;23968;3557;6254;1445,37;15766;11,6;62,6;1,62;72,2;19,0;280,5;38,5;3,4;;
poznañski;1900;255081;45,1;101102;30954;5377;1896,08;69238;88,2;1475,3;4,72;62,0;21,8;4811,8;55,5;8,1;;
rawicki;553;59489;49,7;24854;6732;3118;1449,39;16666;17,5;192,2;1,91;76,6;14,7;699,9;29,1;2,7;;
s³upecki;838;60002;29,6;22158;2921;5652;1530,41;16465;11,1;0,0;2,00;74,7;14,7;265,9567493;35,3;2,7;;
szamotulski;1120;85978;49,2;31529;9230;3424;1861,94;23891;34,4;166,0;3,02;59,7;30,3;1807,9;44,7;3,6;;
œredzki;623;54922;39,8;18479;4781;2901;1759,42;15254;12,6;184,1;3,00;74,2;16,3;503,8;25,9;1,7;;
œremski;575;58459;59,6;23632;6417;2442;1757,19;16086;17,6;99,3;2,80;68,5;19,4;438,2;28,2;2,7;;
turecki ;929;85193;41,8;36768;10157;8127;1747,24;23084;27,1;32,4;1,90;66,9;23,5;692,9;42,4;3,1;;
w¹growiecki ;1041;68001;46,4;20430;3535;5967;1536,14;18532;18,9;55,8;2,90;70,5;18,7;319,0;35,1;2,3;;
wolsztyñski;680;54799;25,2;21455;4847;2820;1495,53;13274;10,1;222,7;2,30;59,0;30,0;718,8;27,5;2,0;;
wrzesiñski;704;74225;52,4;26162;7196;4394;1524,09;20628;27,4;57,7;2,76;71,8;18,7;568,4;35,8;3,4;;
z³otowski;1661;70335;50,3;20784;4497;7147;1528,78;18987;20,5;70,7;2,29;45,4;43,8;364,2;35,0;1,9;;
Kalisz;70;108097;100,0;45205;15590;7277;1830,17;36420;70,7;156,1;3,77;56,7;5,5;2147,8;203,9;85,5;;
Konin;82;83517;100,0;35122;12186;6932;2072,67;26066;52,2;115,3;3,40;41,2;2,6;2378,5;178,9;72,0;;
Leszno;32;62837;100,0;28533;7738;3164;1780,59;19634;36,8;153,1;4,91;47,5;7,4;775,1;132,1;51,7;;
Poznañ;261;574896;100,0;298543;69040;10950;2181,44;200290;444,6;1109,6;6,15;31,5;12,9;13792,3;1145,4;630,6;;
bia³ogardzki ;845;50494;62,8;13297;3828;6894;1493,01;14618;21,9;107,2;1,43;50,3;38,5;199,4;36,9;1,5;;
choszczeñski;1328;51259;47,2;13149;1877;6059;1499,82;14859;13,0;166,3;1,24;50,6;37,8;94,6;27,6;1,8;;
drawski ;1772;60771;61,5;15875;3424;8280;1481,67;17597;21,6;109,6;0,85;34,2;44,4;163,3;35,5;2,5;;
goleniowski;1733;82920;54,7;26215;8193;7321;1644,90;24025;27,4;211,6;0,85;48,9;34,6;625,0;43,3;3,7;;
gryficki;1484;75444;49,1;19340;2933;9625;1632,06;21638;20,8;192,7;2,00;61,7;25,0;209,8;48,4;4,9;;
gryfiñski ;1870;84806;45,8;25458;5533;6940;2100,69;23110;24,5;63,8;1,10;50,1;33,3;1267,544312;46,9;4,1;;
kamieñski ;1007;50035;46,9;14166;1339;5080;1631,68;14428;21,5;72,5;2,92;45,4;26,8;93,0;26,8;1,6;;
ko³obrzeski;726;78093;61,4;28583;5827;6123;1608,05;22921;29,7;294,3;3,65;64,4;20,7;461,3;43,3;3,4;;
koszaliñski ;1669;63956;22,6;17049;2824;7474;1633,63;15992;9,7;162,0;2,00;45,8;41,6;285,6;36,3;5,4;;
myœliborski;1187;69965;59,7;21576;5541;7203;1573,43;20010;24,9;132,1;0,71;45,7;41,2;361,9;43,7;2,7;;
policki;664;58025;63,0;19423;7933;2717;2222,61;16009;19,5;190,2;2,91;30,7;33,8;1817,355688;33,2;2,9;;
pyrzycki;726;41250;42,5;11901;1727;4399;1655,76;11379;9,3;139,0;0,45;78,8;6,2;116,1;20,6;1,0;;
s³awieñski;1044;60059;49,7;16671;2501;8726;1465,46;15939;18,1;71,4;1,35;57,5;27,8;204,9;31,9;1,5;;
stargardzki;2003;144965;67,2;38089;7886;12945;1629,36;41687;48,8;252,8;0,75;61,5;24,1;565,1;83,4;4,5;;
szczecinecki;1765;81698;63,5;23235;5750;10714;1794,89;23993;28,8;93,7;1,75;39,6;42,4;1439,5;51,8;6,5;;
œwidwiñski;1093;51432;50,8;13374;2834;7017;1403,33;14999;16,9;134,5;0,75;55,8;34,2;225,9;28,9;2,5;;
wa³ecki;1407;56876;59,6;16202;3896;5762;1521,88;16572;19,6;80,9;1,50;35,5;53,6;326,8;25,0;1,3;;
Koszalin;83;111618;100,0;43718;9283;8155;1827,45;36468;71,5;211,0;3,60;20,3;39,2;1358,1;195,6;87,1;;
Szczecin;301;416485;100,0;178251;39538;16365;2058,45;140529;279,1;735,9;3,41;17,8;15,6;5722,7;790,6;399,6;;
Œwinoujœcie;195;43697;100,0;15562;1813;2285;1804,21;13814;31,7;62,1;4,00;8,2;21,8;131,0;90,0;41,7;;
